codigo_ibge,municipio,mesorregiao,microrregiao,regiao_intermediaria
4305835,Coqueiro Baixo,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4305850,Coqueiros do Sul,Noroeste Rio-grandense,Carazinho,Passo Fundo
4305871,Coronel Barros,Noroeste Rio-grandense,Ijuí,Ijuí
4305900,Coronel Bicaco,Noroeste Rio-grandense,Ijuí,Ijuí
4305934,Coronel Pilar,Nordeste Rio-grandense,Caxias do Sul,Caxias do Sul
4305959,Cotiporã,Nordeste Rio-grandense,Caxias do Sul,Caxias do Sul
4305975,Coxilha,Noroeste Rio-grandense,Passo Fundo,Passo Fundo
4306007,Crissiumal,Noroeste Rio-grandense,Três Passos,Ijuí
4306056,Cristal,Sudeste Rio-grandense,Pelotas,Porto Alegre
4306072,Cristal do Sul,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4306106,Cruz Alta,Noroeste Rio-grandense,Cruz Alta,Passo Fundo
4306130,Cruzaltense,Noroeste Rio-grandense,Erechim,Passo Fundo
4306205,Cruzeiro do Sul,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4306304,David Canabarro,Noroeste Rio-grandense,Passo Fundo,Passo Fundo
4306320,Derrubadas,Noroeste Rio-grandense,Três Passos,Ijuí
4306353,Dezesseis de Novembro,Noroeste Rio-grandense,Santo Ângelo,Ijuí
4306379,Dilermando de Aguiar,Centro Ocidental Rio-grandense,Santa Maria,Santa Maria
4306403,Dois Irmãos,Metropolitana de Porto Alegre,Gramado-Canela,Porto Alegre
4306429,Dois Irmãos das Missões,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4306452,Dois Lajeados,Nordeste Rio-grandense,Guaporé,Caxias do Sul
4306502,Dom Feliciano,Metropolitana de Porto Alegre,Camaquã,Porto Alegre
4306551,Dom Pedro de Alcântara,Metropolitana de Porto Alegre,Osório,Porto Alegre
4306601,Dom Pedrito,Sudoeste Rio-grandense,Campanha Meridional,Pelotas
4306700,Dona Francisca,Centro Ocidental Rio-grandense,Restinga Seca,Santa Maria
4306734,Doutor Maurício Cardoso,Noroeste Rio-grandense,Três Passos,Ijuí
4306759,Doutor Ricardo,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4306767,Eldorado do Sul,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4306809,Encantado,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4306908,Encruzilhada do Sul,Sudeste Rio-grandense,Serras de Sudeste,Santa Cruz do Sul - Lajeado
4306924,Engenho Velho,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4306932,Entre-Ijuís,Noroeste Rio-grandense,Santo Ângelo,Ijuí
4306957,Entre Rios do Sul,Noroeste Rio-grandense,Erechim,Passo Fundo
4306973,Erebango,Noroeste Rio-grandense,Erechim,Passo Fundo
4307005,Erechim,Noroeste Rio-grandense,Erechim,Passo Fundo
4307054,Ernestina,Noroeste Rio-grandense,Passo Fundo,Passo Fundo
4307104,Herval,Sudeste Rio-grandense,Jaguarão,Pelotas
4307203,Erval Grande,Noroeste Rio-grandense,Erechim,Passo Fundo
4307302,Erval Seco,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4307401,Esmeralda,Nordeste Rio-grandense,Vacaria,Caxias do Sul
4307450,Esperança do Sul,Noroeste Rio-grandense,Três Passos,Ijuí
4307500,Espumoso,Noroeste Rio-grandense,Cruz Alta,Passo Fundo
4307559,Estação,Noroeste Rio-grandense,Erechim,Passo Fundo
4307609,Estância Velha,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4307708,Esteio,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4307807,Estrela,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4307815,Estrela Velha,Centro Oriental Rio-grandense,Santa Cruz do Sul,Santa Cruz do Sul - Lajeado
4307831,Eugênio de Castro,Noroeste Rio-grandense,Santo Ângelo,Ijuí
4307864,Fagundes Varela,Nordeste Rio-grandense,Caxias do Sul,Caxias do Sul
4307906,Farroupilha,Nordeste Rio-grandense,Caxias do Sul,Caxias do Sul
4308003,Faxinal do Soturno,Centro Ocidental Rio-grandense,Restinga Seca,Santa Maria
4308052,Faxinalzinho,Noroeste Rio-grandense,Erechim,Passo Fundo
4308078,Fazenda Vilanova,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4308102,Feliz,Metropolitana de Porto Alegre,Montenegro,Caxias do Sul
4308201,Flores da Cunha,Nordeste Rio-grandense,Caxias do Sul,Caxias do Sul
4308250,Floriano Peixoto,Noroeste Rio-grandense,Erechim,Passo Fundo
4308300,Fontoura Xavier,Noroeste Rio-grandense,Soledade,Passo Fundo
4308409,Formigueiro,Centro Ocidental Rio-grandense,Restinga Seca,Santa Maria
4308433,Forquetinha,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4308458,Fortaleza dos Valos,Noroeste Rio-grandense,Cruz Alta,Passo Fundo
4308508,Frederico Westphalen,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4308607,Garibaldi,Nordeste Rio-grandense,Caxias do Sul,Caxias do Sul
4308656,Garruchos,Sudoeste Rio-grandense,Campanha Ocidental,Ijuí
4308706,Gaurama,Noroeste Rio-grandense,Erechim,Passo Fundo
4308805,General Câmara,Metropolitana de Porto Alegre,São Jerônimo,Porto Alegre
4308854,Gentil,Noroeste Rio-grandense,Passo Fundo,Passo Fundo
4308904,Getúlio Vargas,Noroeste Rio-grandense,Erechim,Passo Fundo
4309001,Giruá,Noroeste Rio-grandense,Santo Ângelo,Ijuí
4309050,Glorinha,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4309100,Gramado,Metropolitana de Porto Alegre,Gramado-Canela,Caxias do Sul
4309126,Gramado dos Loureiros,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4309159,Gramado Xavier,Centro Oriental Rio-grandense,Santa Cruz do Sul,Santa Cruz do Sul - Lajeado
4309209,Gravataí,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4309258,Guabiju,Nordeste Rio-grandense,Guaporé,Caxias do Sul
4309308,Guaíba,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4309407,Guaporé,Nordeste Rio-grandense,Guaporé,Caxias do Sul
4309506,Guarani das Missões,Noroeste Rio-grandense,Cerro Largo,Ijuí
4309555,Harmonia,Metropolitana de Porto Alegre,Montenegro,Porto Alegre
4309571,Herveiras,Centro Oriental Rio-grandense,Santa Cruz do Sul,Santa Cruz do Sul - Lajeado
4309605,Horizontina,Noroeste Rio-grandense,Três Passos,Ijuí
4309654,Hulha Negra,Sudoeste Rio-grandense,Campanha Meridional,Pelotas
4309704,Humaitá,Noroeste Rio-grandense,Três Passos,Ijuí
4309753,Ibarama,Centro Oriental Rio-grandense,Santa Cruz do Sul,Santa Cruz do Sul - Lajeado
4309803,Ibiaçá,Noroeste Rio-grandense,Sananduva,Passo Fundo
4309902,Ibiraiaras,Noroeste Rio-grandense,Passo Fundo,Passo Fundo
4309951,Ibirapuitã,Noroeste Rio-grandense,Soledade,Passo Fundo
4310009,Ibirubá,Noroeste Rio-grandense,Cruz Alta,Passo Fundo
4310108,Igrejinha,Metropolitana de Porto Alegre,Gramado-Canela,Porto Alegre
4310207,Ijuí,Noroeste Rio-grandense,Ijuí,Ijuí
4310306,Ilópolis,Nordeste Rio-grandense,Guaporé,Santa Cruz do Sul - Lajeado
4310330,Imbé,Metropolitana de Porto Alegre,Osório,Porto Alegre
4310363,Imigrante,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4310405,Independência,Noroeste Rio-grandense,Santa Rosa,Ijuí
4310413,Inhacorá,Noroeste Rio-grandense,Ijuí,Ijuí
4310439,Ipê,Nordeste Rio-grandense,Vacaria,Caxias do Sul
4310462,Ipiranga do Sul,Noroeste Rio-grandense,Erechim,Passo Fundo
4310504,Iraí,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4310538,Itaara,Centro Ocidental Rio-grandense,Santa Maria,Santa Maria
4310553,Itacurubi,Centro Ocidental Rio-grandense,Santiago,Santa Maria
4310579,Itapuca,Nordeste Rio-grandense,Guaporé,Passo Fundo
4310603,Itaqui,Sudoeste Rio-grandense,Campanha Ocidental,Uruguaiana
4310652,Itati,Metropolitana de Porto Alegre,Osório,Porto Alegre
4310702,Itatiba do Sul,Noroeste Rio-grandense,Erechim,Passo Fundo
4310751,Ivorá,Centro Ocidental Rio-grandense,Restinga Seca,Santa Maria
4310801,Ivoti,Metropolitana de Porto Alegre,Gramado-Canela,Porto Alegre
4310850,Jaboticaba,Noroeste Rio-grandense,Carazinho,Passo Fundo
4310876,Jacuizinho,Noroeste Rio-grandense,Cruz Alta,Passo Fundo
4310900,Jacutinga,Noroeste Rio-grandense,Erechim,Passo Fundo
4311007,Jaguarão,Sudeste Rio-grandense,Jaguarão,Pelotas
4311106,Jaguari,Centro Ocidental Rio-grandense,Santa Maria,Santa Maria
4311122,Jaquirana,Nordeste Rio-grandense,Vacaria,Caxias do Sul
4311130,Jari,Centro Ocidental Rio-grandense,Santiago,Santa Maria
4311155,Jóia,Noroeste Rio-grandense,Cruz Alta,Ijuí
4311205,Júlio de Castilhos,Centro Ocidental Rio-grandense,Santiago,Santa Maria
4311239,Lagoa Bonita do Sul,Centro Oriental Rio-grandense,Santa Cruz do Sul,Santa Cruz do Sul - Lajeado
4311254,Lagoão,Noroeste Rio-grandense,Soledade,Santa Cruz do Sul - Lajeado
4311270,Lagoa dos Três Cantos,Noroeste Rio-grandense,Não-Me-Toque,Passo Fundo
4311304,Lagoa Vermelha,Nordeste Rio-grandense,Vacaria,Passo Fundo
4311403,Lajeado,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4311429,Lajeado do Bugre,Noroeste Rio-grandense,Carazinho,Passo Fundo
4311502,Lavras do Sul,Sudoeste Rio-grandense,Campanha Meridional,Santa Maria
4311601,Liberato Salzano,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4311627,Lindolfo Collor,Metropolitana de Porto Alegre,Gramado-Canela,Porto Alegre
4311643,Linha Nova,Metropolitana de Porto Alegre,Montenegro,Porto Alegre
4311700,Machadinho,Noroeste Rio-grandense,Sananduva,Passo Fundo
4311718,Maçambará,Sudoeste Rio-grandense,Campanha Ocidental,Uruguaiana
4311734,Mampituba,Metropolitana de Porto Alegre,Osório,Porto Alegre
4311759,Manoel Viana,Sudoeste Rio-grandense,Campanha Ocidental,Uruguaiana
4311775,Maquiné,Metropolitana de Porto Alegre,Osório,Porto Alegre
4311791,Maratá,Metropolitana de Porto Alegre,Montenegro,Porto Alegre
4311809,Marau,Noroeste Rio-grandense,Passo Fundo,Passo Fundo
4311908,Marcelino Ramos,Noroeste Rio-grandense,Erechim,Passo Fundo
4311981,Mariana Pimentel,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4312005,Mariano Moro,Noroeste Rio-grandense,Erechim,Passo Fundo
4312054,Marques de Souza,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4312104,Mata,Centro Ocidental Rio-grandense,Santa Maria,Santa Maria
4312138,Mato Castelhano,Noroeste Rio-grandense,Passo Fundo,Passo Fundo
4312153,Mato Leitão,Centro Oriental Rio-grandense,Santa Cruz do Sul,Santa Cruz do Sul - Lajeado
4312179,Mato Queimado,Noroeste Rio-grandense,Cerro Largo,Ijuí
4312203,Maximiliano de Almeida,Noroeste Rio-grandense,Sananduva,Passo Fundo
4312252,Minas do Leão,Metropolitana de Porto Alegre,São Jerônimo,Porto Alegre
4312302,Miraguaí,Noroeste Rio-grandense,Três Passos,Ijuí
4312351,Montauri,Nordeste Rio-grandense,Guaporé,Caxias do Sul
4312377,Monte Alegre dos Campos,Nordeste Rio-grandense,Vacaria,Caxias do Sul
4312385,Monte Belo do Sul,Nordeste Rio-grandense,Caxias do Sul,Caxias do Sul
4312401,Montenegro,Metropolitana de Porto Alegre,Montenegro,Porto Alegre
4312427,Mormaço,Noroeste Rio-grandense,Soledade,Passo Fundo
4312443,Morrinhos do Sul,Metropolitana de Porto Alegre,Osório,Porto Alegre
4312450,Morro Redondo,Sudeste Rio-grandense,Pelotas,Pelotas
4312476,Morro Reuter,Metropolitana de Porto Alegre,Gramado-Canela,Porto Alegre
4312500,Mostardas,Metropolitana de Porto Alegre,Osório,Porto Alegre
4312609,Muçum,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4312617,Muitos Capões,Nordeste Rio-grandense,Vacaria,Caxias do Sul
4312625,Muliterno,Noroeste Rio-grandense,Passo Fundo,Passo Fundo
4312658,Não-Me-Toque,Noroeste Rio-grandense,Não-Me-Toque,Passo Fundo
4312674,Nicolau Vergueiro,Noroeste Rio-grandense,Passo Fundo,Passo Fundo
4312708,Nonoai,Noroeste Rio-grandense,Frederico Westphalen,Passo Fundo
4312757,Nova Alvorada,Nordeste Rio-grandense,Guaporé,Passo Fundo
4312807,Nova Araçá,Nordeste Rio-grandense,Guaporé,Caxias do Sul
4312906,Nova Bassano,Nordeste Rio-grandense,Guaporé,Caxias do Sul
4312955,Nova Boa Vista,Noroeste Rio-grandense,Carazinho,Passo Fundo
4313003,Nova Bréscia,Centro Oriental Rio-grandense,Lajeado-Estrela,Santa Cruz do Sul - Lajeado
4313011,Nova Candelária,Noroeste Rio-grandense,Três Passos,Ijuí
4313037,Nova Esperança do Sul,Centro Ocidental Rio-grandense,Santa Maria,Santa Maria
4313060,Nova Hartz,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4313086,Nova Pádua,Nordeste Rio-grandense,Caxias do Sul,Caxias do Sul
4313102,Nova Palma,Centro Ocidental Rio-grandense,Restinga Seca,Santa Maria
4313201,Nova Petrópolis,Metropolitana de Porto Alegre,Gramado-Canela,Caxias do Sul
4313300,Nova Prata,Nordeste Rio-grandense,Guaporé,Caxias do Sul
4313334,Nova Ramada,Noroeste Rio-grandense,Ijuí,Ijuí
4313359,Nova Roma do Sul,Nordeste Rio-grandense,Caxias do Sul,Caxias do Sul
4313375,Nova Santa Rita,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
4313391,Novo Cabrais,Centro Oriental Rio-grandense,Cachoeira do Sul,Santa Maria
4313409,Novo Hamburgo,Metropolitana de Porto Alegre,Porto Alegre,Porto Alegre
